Date,Type,Value,Price
01/10/2020,All,51370,262324
01/01/2021,Private Enterprise,36240,
01/01/2021,Housing Associations,7750,
01/01/2021,Local Authorities,530,
01/01/2021,All,44510,268135.6667
01/04/2021,Private Enterprise,35860,
01/04/2021,Housing Associations,7770,
01/04/2021,Local Authorities,290,
01/04/2021,All,43910,273015.6667
01/07/2021,Private Enterprise,32920,
01/07/2021,Housing Associations,7760,
01/07/2021,Local Authorities,270,
01/07/2021,All,40940,277011.3333
01/10/2021,Private Enterprise,37120,
01/10/2021,Housing Associations,7950,
01/10/2021,Local Authorities,500,
01/10/2021,All,45570,283280.6667
01/01/2022,Private Enterprise,33130,
01/01/2022,Housing Associations,7400,
01/01/2022,Local Authorities,240,
01/01/2022,All,40770,292150
01/04/2022,Private Enterprise,37760,
01/04/2022,Housing Associations,8200,
01/04/2022,Local Authorities,280,
01/04/2022,All,46230,299549.3333
01/07/2022,Private Enterprise,32860,
01/07/2022,Housing Associations,7500,
01/07/2022,Local Authorities,290,
01/07/2022,All,40650,312673.3333
